132,850
140,840
151,830
163,820
175,810
187,800
198,790
208,780
219,770
229,760
239,750
250,740
260,730
270,720
280,710
290,700
300,690
310,680
319,670
329,660
339,650
348,640
358,630
367,620
376,610
385,600
394,590
403,580
412,570
420,560
429,550
437,540
446,530
454,520
462,510
470,500
478,490
486,480
494,470
501,460
509,450
516,440
524,430
531,420
538,410
545,400
552,390
559,380
565,370
572,360
578,350
585,340
591,330
597,320
603,310
609,300
615,290
620,280
626,270
631,260
636,250
641,240
646,230
651,220
656,210
661,200
666,190
670,180
675,170
680,160
684,150
